city,census
Rochester city Minnesota,106769
Cambridge city Massachusetts,105162
Sugar Land city Texas,78817
Lansing city Michigan,114297
Evansville city Indiana,117429
College Station city Texas,93857
Fairfield city California,105321
Clearwater city Florida,107685
Beaumont city Texas,118296
Independence city Missouri,116830
Provo city Utah,112488
West Jordan city Utah,103712
Murrieta city California,103466
Palm Bay city Florida,103190
El Monte city California,113475
Carlsbad city California,105328
North Charleston city South Carolina,97471
Temecula city California,100097
Clovis city California,95631
Springfield city Illinois,116250
Meridian city Idaho,75092
Westminster city Colorado,106114
Costa Mesa city California,109960
High Point city North Carolina,104371
Manchester city New Hampshire,109565
Pueblo city Colorado,106595
Lakeland city Florida,97422
Pompano Beach city Florida,99845
West Palm Beach city Florida,99919
Antioch city California,102372
Everett city Washington,103019
Downey city California,111772
Lowell city Massachusetts,106519
Centennial city Colorado,100377
Elgin city Illinois,108188
Richmond city California,103701
Peoria city Illinois,115007
Broken Arrow city Oklahoma,98850
Miami Gardens city Florida,107167
Billings city Montana,104170
Jurupa Valley city California,(X)
Sandy Springs city Georgia,93853
Gresham city Oregon,105594
Lewisville city Texas,95290
Hillsboro city Oregon,91611
San Buenaventura (Ventura) city California,106433
Greeley city Colorado,92889
Inglewood city California,109673
Waterbury city Connecticut,110366
League City city Texas,83560
Santa Maria city California,99553
Tyler city Texas,96900
Davie town Florida,91992
Daly City city California,101123
Boulder city Colorado,97385
Allen city Texas,84246
West Covina city California,106098
Sparks city Nevada,90264
Wichita Falls city Texas,104553
Green Bay city Wisconsin,104057
San Mateo city California,97207
Norwalk city California,105549
Rialto city California,99171
Las Cruces city New Mexico,97618
Chico city California,86187
El Cajon city California,99478
Burbank city California,103340
South Bend city Indiana,101168
Renton city Washington,90927
Vista city California,93834
Davenport city Iowa,99685
Edinburg city Texas,77100
Tuscaloosa city Alabama,90468
Carmel city Indiana,79191
Spokane Valley city Washington,89755
San Angelo city Texas,93200
Vacaville city California,92428
Bend city Oregon,76639
Kenosha city Wisconsin,99218
Boca Raton city Florida,84392
Lee's Summit city Missouri,91364
Nampa city Idaho,81557
Rio Rancho city New Mexico,87521
South Fulton city Georgia,(X)
Roanoke city Virginia,97032
Beaverton city Oregon,89803
Yuma city Arizona,93064
Lawrence city Kansas,87643
Orem city Utah,88328
Longmont city Colorado,86270
San Marcos city California,83781
Albany city New York,97856
Sandy city Utah,87461
Concord city North Carolina,79066
Federal Way city Washington,89306
Hesperia city California,90173
Brockton city Massachusetts,93810
Compton city California,96455
Flint city Michigan,102434
Erie city Pennsylvania,101786
New Bedford city Massachusetts,95072
Fishers city Indiana,76794
Sunrise city Florida,84439
Roswell city Georgia,88346
Menifee city California,77519
Tracy city California,82922
Plantation city Florida,84955
Quincy city Massachusetts,92271
Portsmouth city Virginia,95535
Mission Viejo city California,93305
Chino city California,77983
Lynn city Massachusetts,90329
Edmond city Oklahoma,81405
Dearborn city Michigan,98153
Livonia city Michigan,96942
Yakima city Washington,91067
South Gate city California,94396
Greenville city North Carolina,84554
Lawton city Oklahoma,96867
Kirkland city Washington,48787
Asheville city North Carolina,83393
Deltona city Florida,85182
Redding city California,89861
Bellingham city Washington,80885
Suffolk city Virginia,84585
Indio city California,76036
Mount Pleasant town South Carolina,67843
Carson city California,91714
Santa Barbara city California,88410
Conroe city Texas,56207
Westminster city California,89701
Santa Monica city California,89736
New Braunfels city Texas,57740
Livermore city California,80968
Palm Coast city Florida,75180
St. George city Utah,72897
Fall River city Massachusetts,88857
Nashua city New Hampshire,86494
Champaign city Illinois,81055
Miami Beach city Florida,87779
Norwalk city Connecticut,85603
San Leandro city California,84950
O'Fallon city Missouri,79329
Newton city Massachusetts,85146
Reading city Pennsylvania,88082
Avondale city Arizona,76238
Fort Smith city Arkansas,86209
Citrus Heights city California,83301
Ogden city Utah,82825
Fayetteville city Arkansas,73580
Fort Myers city Florida,62298
Goodyear city Arizona,65275
Bryan city Texas,76201
Waukegan city Illinois,89078
Hawthorne city California,84293
Redwood City city California,76815
Hoover city Alabama,81619
Bloomington city Indiana,80405
Duluth city Minnesota,86265
Lake Forest city California,77264
Hemet city California,78657
Whittier city California,85331
Clifton city New Jersey,84136
Largo city Florida,77648
Bloomington city Minnesota,82893
Danbury city Connecticut,80893
Santa Fe city New Mexico,67947
Johns Creek city Georgia,76728
Newport Beach city California,85186
Kennewick city Washington,73917
Mission city Texas,77058
Milpitas city California,66790
Troy city Michigan,80980
Chino Hills city California,74799
Alhambra city California,83089
Merced city California,78958
Trenton city New Jersey,84913
Franklin city Tennessee,62487
Medford city Oregon,74907
Melbourne city Florida,76068
Manteca city California,67096
Mountain View city California,74066
Sioux City city Iowa,82684
Lynchburg city Virginia,75568
Buena Park city California,80530
Pleasanton city California,70285
Longview city Texas,80455
Westland city Michigan,84094
Auburn city Washington,70180
Cranston city Rhode Island,80387
Somerville city Massachusetts,75754
Folsom city California,72203
Springdale city Arkansas,69797
Deerfield Beach city Florida,75018
Warwick city Rhode Island,82672
Cicero town Illinois,83891
Farmington Hills city Michigan,79740
Brooklyn Park city Minnesota,75781
Lawrence city Massachusetts,76377
Plymouth city Minnesota,70576
Buckeye city Arizona,50876
Georgetown city Texas,47400
Cedar Park city Texas,48937
Tustin city California,75540
Lakewood city California,80048
Perris city California,68386
Flower Mound town Texas,64669
Pharr city Texas,70400
Loveland city Colorado,66859
Boynton Beach city Florida,68217
New Rochelle city New York,77062
Temple city Texas,66102
Lake Charles city Louisiana,71993
Jonesboro city Arkansas,67263
Napa city California,76915
Parma city Ohio,81601
Layton city Utah,67311
Alameda city California,73812
Warner Robins city Georgia,66588
Rapid City city South Dakota,67956
Bloomington city Illinois,76610
Gastonia city North Carolina,71741
Baytown city Texas,71802
Upland city California,73732
Racine city Wisconsin,78860
Scranton city Pennsylvania,76089
South Jordan city Utah,50418
Bellflower city California,76616
Kalamazoo city Michigan,74262
San Ramon city California,72148
Bethlehem city Pennsylvania,74982
Wyoming city Michigan,72125
Hammond city Indiana,80830
Missoula city Montana,66788
Missouri City city Texas,67358
Pasco city Washington,59781
Baldwin Park city California,75390
Iowa City city Iowa,67862
Rancho Cordova city California,64776
Rock Hill city South Carolina,66154
Flagstaff city Arizona,65870
Gary city Indiana,80294
St. Joseph city Missouri,76780
Arlington Heights village Illinois,75101
Bolingbrook village Illinois,73366
Rochester Hills city Michigan,70995
Framingham city Massachusetts,(X)
Union City city California,69516
Appleton city Wisconsin,72623
Turlock city California,68549
Camden city New Jersey,77344
Bismarck city North Dakota,61272
Evanston city Illinois,74486
Apple Valley town California,69135
Schaumburg village Illinois,74227
Woodbury city Minnesota,61961
Kissimmee city Florida,59682
Southfield city Michigan,71739
Maple Grove city Minnesota,61567
Pittsburg city California,63264
New Britain city Connecticut,73206
Jacksonville city North Carolina,70145
Mansfield city Texas,56368
Waukesha city Wisconsin,70718
Frederick city Maryland,65239
Albany city Georgia,77434
Pawtucket city Rhode Island,71148
Redmond city Washington,54144
Lauderhill city Florida,66887
Lafayette city Indiana,67140
Gulfport city Mississippi,67793
Redlands city California,68747
Weston city Florida,65333
St. Charles city Missouri,65794
Decatur city Illinois,76122
North Port city Florida,57357
North Richland Hills city Texas,63343
Greenville city South Carolina,58409
Bowling Green city Kentucky,58067
Broomfield city Colorado,55889
Canton city Ohio,73007
Marysville city Washington,60020
Walnut Creek city California,64173
Wilmington city Delaware,70851
Camarillo city California,65201
Lynwood city California,69772
Lehi city Utah,47407
Passaic city New Jersey,69781
Homestead city Florida,60512
Delray Beach city Florida,60522
Davis city California,65622
Lake Elsinore city California,51821
Daytona Beach city Florida,61005
Dothan city Alabama,65496
Rocklin city California,56974
Eau Claire city Wisconsin,65883
Rogers city Arkansas,55964
Castle Rock town Colorado,48231
St. Cloud city Minnesota,65842
Bossier City city Louisiana,61315
Rockville city Maryland,61209
Muncie city Indiana,70085
Gaithersburg city Maryland,59933
Union City city New Jersey,66455
West Des Moines city Iowa,56609
South San Francisco city California,63632
Yorba Linda city California,64234
Conway city Arkansas,58908
Lodi city California,62134
Palatine village Illinois,68557
Ankeny city Iowa,45582
Mount Vernon city New York,67292
Rowlett city Texas,56199
Waterloo city Iowa,68406
Lakeville city Minnesota,55954
Alpharetta city Georgia,57551
Jackson city Tennessee,65211
Yuba City city California,64925
Oshkosh city Wisconsin,66083
Victoria city Texas,62592
Johnson City city Tennessee,63152
Redondo Beach city California,66748
Tamarac city Florida,60427
Laguna Niguel city California,62979
Eagan city Minnesota,64206
Kenner city Louisiana,66702
Auburn city Alabama,53380
Ames city Iowa,58965
Portland city Maine,66194
North Little Rock city Arkansas,62304
Sammamish city Washington,45780
Madera city California,61416
Shawnee city Kansas,62209
Jupiter town Florida,55156
Doral city Florida,45704
Blaine city Minnesota,57186
Tulare city California,59278
Youngstown city Ohio,66982
Wellington village Florida,56508
Pflugerville city Texas,46936
Palo Alto city California,64403
Schenectady city New York,66135
Harlingen city Texas,64849
Bayonne city New Jersey,63024
Eden Prairie city Minnesota,60797
Port Orange city Florida,56048
Dublin city California,46036
San Marcos city Texas,44894
Noblesville city Indiana,51969
Santa Cruz city California,59946
Janesville city Wisconsin,63575
San Clemente city California,63522
Brentwood city California,51481
East Orange city New Jersey,64270
Cheyenne city Wyoming,59466
Eastvale city California,(X)
Chapel Hill town North Carolina,57233
Haverhill city Massachusetts,60879
Lorain city Ohio,64097
Grand Junction city Colorado,58566
Springfield city Oregon,59403
Coon Rapids city Minnesota,61476
Idaho Falls city Idaho,56813
North Miami city Florida,58786
Encinitas city California,59518
Skokie village Illinois,64784
Leander city Texas,26521
Waltham city Massachusetts,60632
Council Bluffs city Iowa,62230
Hamilton city Ohio,62477
Moore city Oklahoma,55081
Pico Rivera city California,62942
Montebello city California,62500
Millcreek city Utah,(X)
Sanford city Florida,53570
National City city California,58582
Burnsville city Minnesota,60306
Coconut Creek city Florida,52909
Lakewood city Washington,58163
Taylor city Michigan,63131
Novi city Michigan,55224
Marietta city Georgia,56579
Ocala city Florida,56315
Terre Haute city Indiana,60785
Woodland city California,55468
Petaluma city California,57941
La Habra city California,60239
Malden city Massachusetts,59450
Commerce City city Colorado,45913
Owensboro city Kentucky,57265
Bristol city Connecticut,60477
West Allis city Wisconsin,60411
Taylorsville city Utah,58652
Utica city New York,62235
Monterey Park city California,60269
Bonita Springs city Florida,43914
Porterville city California,54165
Greenwood city Indiana,49791
Bartlett city Tennessee,54613
Bradenton city Florida,49546
Vineland city New Jersey,60724
Pontiac city Michigan,59515
Meriden city Connecticut,60868
Gardena city California,58829
Apex town North Carolina,37476
Royal Oak city Michigan,57236
Cupertino city California,58302
Lancaster city Pennsylvania,59322
La Mesa city California,57065
Gilroy city California,48821
St. Clair Shores city Michigan,59715
Des Plaines city Illinois,58364
Springfield city Ohio,60608
Corvallis city Oregon,54462
Margate city Florida,53284
Bowie city Maryland,54727
Casa Grande city Arizona,48571
Caldwell city Idaho,46237
San Rafael city California,57713
Great Falls city Montana,58505
Sarasota city Florida,51917
Richland city Washington,48058
St. Peters city Missouri,52575
Hendersonville city Tennessee,51372
White Plains city New York,56853
Huntersville town North Carolina,46773
Santee city California,53413
Kokomo city Indiana,45468
Arcadia city California,56364
Casper city Wyoming,55316
Dubuque city Iowa,57637
